DOI,Layer,Indegree,Direct,Freq,Citation_Count,Score
10.1038/nature14236,0,0,0,1,19974,1
10.5962/bhl.title.55072,1,1,1,1,611,0.654852
10.1126/science.275.5306.1593,1,1,1,1,7173,0.661992
10.1007/bf00344251,1,2,1,2,3932,0.678695
10.1145/203330.203343,1,1,1,1,968,0.653995
10.1007/s10514-009-9120-4,1,1,1,1,175,0.654666
10.1561/2200000006,1,1,1,1,5743,0.659785
10.1126/science.1127647,1,1,1,1,15599,0.66937
10.1613/jair.3912,1,1,1,1,860,0.654619
10.1007/s11023-007-9079-x,1,1,1,1,389,0.654554
10.1109/5.726791,1,2,1,2,40562,0.675787
10.1113/jphysiol.1963.sp007079,1,1,1,1,611,0.653774
10.1109/9.580874,1,2,1,2,694,0.682609
10.1037/0033-295x.102.3.419,1,8,1,8,3656,0.694901
10.1016/j.tins.2010.01.006,1,1,1,1,352,0.654872
10.1038/nn.2304,1,1,1,1,231,0.653107
10.1038/415318a,1,1,1,1,446,0.656071
10.1038/nn.3203,1,1,1,1,323,0.65369
10.1016/s0004-3702(98)00023-x,1,1,1,1,2198,0.656521
10.1037/h0076778,2,1,0,1,1903,0.669174
10.1037/0033-295x.88.2.135,2,4,0,4,1037,0.664359
10.1101/lm.1.1.1,2,2,0,2,117,0.662855
10.1038/377725a0,2,1,0,1,220,0.669691
10.1523/jneurosci.16-05-01936.1996,2,2,0,2,1536,0.664518
10.1016/0306-4522(94)90592-4,2,1,0,1,192,0.668065
10.7551/mitpress/4708.003.0020,2,1,0,1,83,0.670135
10.1016/1044-5765(92)90012-q,2,1,0,1,116,0.670047
10.1002/syn.890100307,2,1,0,1,224,0.668807
10.1016/0376-8716(95)01118-i,2,1,0,1,462,0.670263
10.1016/0006-8993(75)90998-1,2,2,0,2,85,0.663811
10.1126/science.897677,2,1,0,1,58,0.666517
10.1007/bf00426039,2,1,0,1,18,0.669606
10.1016/0006-8993(80)90666-6,2,1,0,1,218,0.668634
10.1146/annurev.ps.40.020189.001203,2,1,0,1,1449,0.668174
10.1017/s0140525x00010372,2,2,0,2,809,0.653215
10.1016/0165-0173(83)90038-3,2,2,0,2,676,0.660776
10.1126/science.6857251,2,2,0,2,175,0.651257
10.1016/0361-9230(89)90223-2,2,1,0,1,44,0.668266
10.1152/physrev.1991.71.1.155,2,1,0,1,836,0.670984
10.1007/bf00342633,2,3,0,3,533,0.633258
10.1152/jn.1972.35.1.96,2,3,0,3,1111,0.626895
10.1113/jphysiol.1962.sp006837,2,4,0,4,10028,0.638421
10.1152/jn.1965.28.2.229,2,3,0,3,1931,0.64472
10.1098/rspb.1977.0085,2,2,0,2,1719,0.643193
10.1016/0893-6080(89)90020-8,2,5,0,5,16496,0.652525
10.7551/mitpress/5236.001.0001,2,4,0,4,13711,0.662942
10.1147/rd.33.0210,2,8,0,8,2583,0.689087
10.1023/a:1022633531479,2,1,0,1,189,0.656788
10.1162/neco.1989.1.3.321,2,1,0,1,38,0.657245
10.1007/bf00992697,2,2,0,2,276,0.650985
10.1016/s0004-3702(99)00026-0,2,1,0,1,95,0.658713
10.1109/iros.2008.4650953,2,1,0,1,52,0.65843
10.1080/088395198117848,2,2,0,2,133,0.662612
10.1163/1568553041719519,2,1,0,1,15,0.657984
10.1177/0278364907087548,2,1,0,1,126,0.659522
10.1016/j.neunet.2008.02.003,2,1,0,1,545,0.658796
10.1109/icnn.1993.298623,2,1,0,1,1920,0.658778
10.1177/105971230501300301,2,1,0,1,225,0.656919
10.1016/0004-3702(89)90017-9,2,2,0,2,72,0.652655
10.1016/j.robot.2004.05.005,2,1,0,1,52,0.655913
10.1016/0885-2308(87)90026-x,2,1,0,1,88,0.679214
10.1126/science.269.5232.1860,2,3,0,3,84,0.656931
10.1162/neco.1997.9.7.1493,2,2,0,2,532,0.659044
10.1073/pnas.79.8.2554,2,2,0,2,13861,0.660317
10.1162/neco.2006.18.7.1527,2,1,0,1,12351,0.668919
10.1002/(sici)1097-4571(199009)41:6<391::aid-asi1>3.0.co;2-9,2,1,0,1,7038,0.670954
10.1126/science.290.5500.2323,2,1,0,1,11188,0.667949
10.1126/science.290.5500.2319,2,1,0,1,9955,0.670104
10.1109/21.97471,2,1,0,1,462,0.658353
10.1002/j.1556-6676.1992.tb01670.x,2,1,0,1,34,0.659257
10.3406/psy.1904.3675,2,1,0,1,480,0.658349
10.2307/2184371,2,1,0,1,228,0.658943
10.1007/978-3-662-04978-5,2,1,0,1,134,0.659889
10.1017/cbo9780511571312,2,1,0,1,3188,0.656535
10.1007/bf02084159,2,2,0,2,99,0.664038
10.1109/jproc.1995.481636,2,1,0,1,17,0.658782
10.1093/mind/xcix.393.53,2,1,0,1,124,0.659503
10.1016/s0160-2896(97)90011-8,2,1,0,1,689,0.659972
10.1016/s0160-2896(97)90014-3,2,1,0,1,917,0.658082
10.1080/09528138908953691,2,1,0,1,148,0.658279
10.1023/a:1008367325700,2,1,0,1,59,0.658417
10.1016/b978-0-12-293850-4.50022-4,2,1,0,1,72,0.659441
10.1145/224538.224567,2,1,0,1,21,0.659752
10.1007/3-540-44795-4_20,2,1,0,1,22,0.659649
10.1016/j.tcs.2007.05.016,2,1,0,1,59,0.65845
10.1109/72.554195,2,1,0,1,2354,0.62667
10.1162/neco.1995.7.6.1289,2,1,0,1,89,0.628406
10.1016/0031-3203(82)90024-3,2,1,0,1,564,0.630206
10.1162/neco.1993.5.3.419,2,1,0,1,26,0.629486
10.1109/5.18626,2,1,0,1,14625,0.623744
10.1007/978-1-4615-3210-1,2,1,0,1,486,0.630835
10.1109/5.156474,2,1,0,1,34,0.630331
10.1109/5.156477,2,1,0,1,278,0.630294
10.1109/78.175747,2,1,0,1,531,0.629361
10.1007/bf00116037,2,1,0,1,2196,0.628255
10.1162/neco.1992.4.6.888,2,1,0,1,372,0.631571
10.1007/bf02551274,2,1,0,1,10013,0.624865
10.1162/neco.1991.3.3.440,2,1,0,1,136,0.630356
10.1109/tc.1978.1675179,2,2,0,2,25,0.643379
10.1162/neco.1994.6.5.851,2,1,0,1,281,0.628967
10.1103/physreva.45.6056,2,1,0,1,376,0.629023
10.1007/978-1-4757-2440-0,2,1,0,1,17522,0.623819
10.1007/bf00115009,2,3,0,3,2376,0.642801
10.1007/bf00993306,2,2,0,2,382,0.636405
10.1007/bf00993978,2,1,0,1,71,0.608253
10.1016/b978-1-55860-377-6.50040-2,2,2,0,2,138,0.636434
10.1162/neco.1995.7.2.270,2,2,0,2,22,0.647403
