DOI,Title,Authors,Year,References,Score,Layer
10.1038/nature14236,Human-level control through deep reinforcement learning,Volodymyr Mnih; Koray Kavukcuoglu; David Silver; Andrei A. Rusu; Joel Veness; Marc G. Bellemare; Alex Graves; Martin Riedmiller; Andreas K. Fidjeland; Georg Ostrovski; Stig Petersen; Charles Beattie; Amir Sadik; Ioannis Antonoglou; Helen King; Dharshan Kumaran; Daan Wierstra; Shane Legg; Demis Hassabis,2015.0,"['10.5962/bhl.title.55072', '10.1126/science.275.5306.1593', '10.1007/bf00344251', '10.1145/203330.203343', '10.1007/s10514-009-9120-4', '10.1561/2200000006', '10.1126/science.1127647', '10.1613/jair.3912', '10.1007/s11023-007-9079-x', '10.1109/5.726791', '10.1113/jphysiol.1963.sp007079', '10.1109/9.580874', '10.1037/0033-295x.102.3.419', '10.1016/j.tins.2010.01.006', '10.1038/nn.2304', '10.1038/415318a', '10.1038/nn.3203', '10.1016/s0004-3702(98)00023-x']",1.0,0
10.5962/bhl.title.55072,Animal intelligence; experimental studies,Edward L. Thorndike,1911.0,,,1
10.1126/science.275.5306.1593,A Neural Substrate of Prediction and Reward,Wolfram Schultz; Peter Dayan; P. Read Montague,1997.0,"['10.1037/h0076778', '10.1037/0033-295x.88.2.135', '10.1101/lm.1.1.1', '10.1038/377725a0', '10.1523/jneurosci.16-05-01936.1996', '10.1016/0306-4522(94)90592-4', '10.7551/mitpress/4708.003.0020', '10.1016/1044-5765(92)90012-q', '10.1002/syn.890100307', '10.1016/0376-8716(95)01118-i', '10.1016/0006-8993(75)90998-1', '10.1126/science.897677', '10.1007/bf00426039', '10.1016/0006-8993(80)90666-6', '10.1146/annurev.ps.40.020189.001203', '10.1017/s0140525x00010372', '10.1016/0165-0173(83)90038-3', '10.1126/science.6857251', '10.1016/0361-9230(89)90223-2', '10.1152/physrev.1991.71.1.155']",0.661992,1
10.1007/bf00344251,Neocognitron: A self-organizing neural network model for a mechanism of pattern recognition unaffected by shift in position,Kunihiko Fukushima,1980.0,"['10.1007/bf00342633', '10.1152/jn.1972.35.1.96', '10.1113/jphysiol.1962.sp006837', '10.1152/jn.1965.28.2.229', '10.1098/rspb.1977.0085']",0.678695,1
10.1145/203330.203343,Temporal difference learning and TD-Gammon,Gerald Tesauro,1995.0,"['10.1016/0893-6080(89)90020-8', '10.7551/mitpress/5236.001.0001', '10.1147/rd.33.0210', '10.1023/a:1022633531479', '10.1162/neco.1989.1.3.321', '10.1007/bf00992697']",0.653995,1
10.1007/s10514-009-9120-4,Reinforcement learning for robot soccer,Martin Riedmiller; Thomas Gabel; Roland Hafner; Sascha Lange,2009.0,"['10.1016/s0004-3702(99)00026-0', '10.1109/iros.2008.4650953', '10.1080/088395198117848', '10.1163/1568553041719519', '10.1177/0278364907087548', '10.1016/j.neunet.2008.02.003', '10.1109/icnn.1993.298623', '10.1177/105971230501300301', '10.1016/0004-3702(89)90017-9', '10.1016/j.robot.2004.05.005']",0.654666,1
10.1561/2200000006,Learning Deep Architectures for AI,Y. Bengio,2009.0,,,1
10.1126/science.1127647,Reducing the Dimensionality of Data with Neural Networks,G. E. Hinton; R. R. Salakhutdinov,2006.0,"['10.1016/0885-2308(87)90026-x', '10.1126/science.269.5232.1860', '10.1162/neco.1997.9.7.1493', '10.1073/pnas.79.8.2554', '10.1162/neco.2006.18.7.1527', '10.1002/(sici)1097-4571(199009)41:6<391::aid-asi1>3.0.co;2-9', '10.1126/science.290.5500.2323', '10.1126/science.290.5500.2319']",0.66937,1
10.1613/jair.3912,The Arcade Learning Environment: An Evaluation Platform for General Agents,M. G. Bellemare; Y. Naddaf; J. Veness; M. Bowling,2013.0,,,1
10.1007/s11023-007-9079-x,Universal Intelligence: A Definition of Machine Intelligence,Shane Legg; Marcus Hutter,2007.0,"['10.1109/21.97471', '10.1002/j.1556-6676.1992.tb01670.x', '10.3406/psy.1904.3675', '10.2307/2184371', '10.1007/978-3-662-04978-5', '10.1017/cbo9780511571312', '10.1007/bf02084159', '10.1109/jproc.1995.481636', '10.1093/mind/xcix.393.53', '10.1016/s0160-2896(97)90011-8', '10.1016/s0160-2896(97)90014-3', '10.1080/09528138908953691', '10.1023/a:1008367325700', '10.1016/b978-0-12-293850-4.50022-4', '10.1145/224538.224567', '10.1007/3-540-44795-4_20', '10.1016/j.tcs.2007.05.016']",0.654554,1
10.1109/5.726791,Gradient-based learning applied to document recognition,Y. Lecun; L. Bottou; Y. Bengio; P. Haffner,1998.0,"['10.1109/72.554195', '10.1162/neco.1995.7.6.1289', '10.1016/0031-3203(82)90024-3', '10.1007/bf00342633', '10.1113/jphysiol.1962.sp006837', '10.1162/neco.1993.5.3.419', '10.1109/5.18626', '10.1007/978-1-4615-3210-1', '10.1109/5.156474', '10.1109/5.156477', '10.1109/78.175747', '10.1007/bf00116037', '10.1162/neco.1992.4.6.888', '10.1007/bf02551274', '10.1162/neco.1991.3.3.440', '10.1109/tc.1978.1675179', '10.1162/neco.1994.6.5.851', '10.1103/physreva.45.6056', '10.1007/978-1-4757-2440-0']",0.675787,1
10.1113/jphysiol.1963.sp007079,Shape and arrangement of columns in cat's striate cortex,D. H. Hubel; T. N. Wiesel,1963.0,,,1
10.1109/9.580874,An analysis of temporal-difference learning with function approximation,J.N. Tsitsiklis; B. Van Roy,1997.0,"['10.1007/bf00115009', '10.1007/bf00993306', '10.1007/bf00993978', '10.1016/b978-1-55860-377-6.50040-2', '10.1162/neco.1995.7.2.270', '10.1007/bf00114726', '10.1007/bf00992698', '10.1162/neco.1994.6.6.1185', '10.1007/bf00114724', '10.1007/978-3-642-75894-2']",0.682609,1
10.1037/0033-295x.102.3.419,Why there are complementary learning systems in the hippocampus and neocortex: Insights from the successes and failures of connectionist models of learning and memory.,James L. McClelland; Bruce L. McNaughton; Randall C. O'Reilly,1995.0,,,1
10.1016/j.tins.2010.01.006,Play it again: reactivation of waking experience and memory,Joseph O’Neill; Barty Pleydell-Bouverie; David Dupret; Jozsef Csicsvari,2010.0,"['10.1136/jnnp.20.1.11', '10.1016/j.conb.2006.03.013', '10.1038/297681a0', '10.1038/13202', '10.1037/0033-295x.99.2.195', '10.1038/nrn1607', '10.1016/0028-3932(83)90005-2', '10.1111/j.1469-7580.2005.00421.x', '10.1016/j.tics.2007.02.005', '10.1126/science.1063530', '10.1016/j.tics.2007.09.001', '10.1038/nature05278', '10.1126/science.1062856', '10.1016/s0896-6273(00)80987-3', '10.1016/0006-8993(86)91483-6', '10.1523/jneurosci.19-16-j0001.1999', '10.1016/0306-4522(89)90423-5', '10.1037/0033-295x.102.3.419', '10.1016/0006-8993(71)90358-1', '10.1016/0166-2236(87)90011-7']",0.654872,1
10.1038/nn.2304,Reinforcement learning can account for associative and perceptual learning on a visual-decision task,Chi-Tat Law; Joshua I Gold,2009.0,"['10.1146/annurev.ps.14.020163.000333', '10.1016/s0896-6273(01)00424-x', '10.1523/jneurosci.3002-07.2007', '10.1038/nn2070', '10.1146/annurev.psych.56.091103.070229', '10.1146/annurev.neuro.28.061604.135722', '10.1007/s00213-006-0578-x', '10.1016/j.brainresrev.2007.10.007', '10.1038/35083586', '10.1016/j.tics.2005.05.010', '10.1523/jneurosci.22-21-09475.2002', '10.1038/nn1683', '10.1038/22268', '10.1146/annurev.neuro.25.112701.142922', '10.1146/annurev.neuro.22.1.319', '10.1146/annurev.neuro.29.051605.113038', '10.1038/346174a0', '10.1523/jneurosci.12-12-04745.1992', '10.1523/jneurosci.16-04-01486.1996', '10.3758/cabn.8.4.429']",0.653107,1
10.1038/415318a,Visual categorization shapes feature selectivity in the primate temporal cortex,Natasha Sigala; Nikos K. Logothetis,2002.0,"['10.1016/0010-0285(91)90016-h', '10.1037/h0043805', '10.1037/0096-3445.111.4.369', '10.1007/s004220050407', '10.1046/j.1460-9568.1999.00530.x', '10.1046/j.1460-9568.1999.00531.x', '10.1016/s0042-6989(00)00083-3', '10.1126/science.291.5502.312', '10.1016/s0960-9822(95)00108-4', '10.1152/jn.1972.35.1.96', '10.1146/annurev.ne.19.030196.000545', '10.1016/s0960-9822(06)00291-0', '10.1038/72140', '10.1037/0096-3445.115.1.39', '10.1152/jn.1971.34.5.920', '10.1073/pnas.94.7.3408', '10.1523/jneurosci.21-04-01340.2001', '10.1016/s0010-0277(98)00016-x', '10.1016/0042-6989(80)90128-5']",0.656071,1
