id,name,description,doi,knowledge_graph
10.1113/jphysiol.1983.sp014507,Reduction of long‐term potentiation in the dentate gyrus of the rat following selective depletion of,Paper: Reduction of long‐term potentiation in the dentate gyrus of the rat following selective depletion of monoamines.,10.1113/jphysiol.1983.sp014507,
10.1038/nature14236,Human-level control through deep reinforcement learning,Paper: Human-level control through deep reinforcement learning,10.1038/nature14236,
10.1016/j.tins.2010.01.006,Play it again: reactivation of waking experience and memory,Paper: Play it again: reactivation of waking experience and memory,10.1016/j.tins.2010.01.006,
10.1016/0306-4522(89)90423-5,Two-stage model of memory trace formation: A role for “noisy” brain states,Paper: Two-stage model of memory trace formation: A role for “noisy” brain states,10.1016/0306-4522(89)90423-5,
10.1016/0304-3940(86)90466-0,Single high strength afferent volleys can produce long-term potentiation in the hippocampus in vitro,Paper: Single high strength afferent volleys can produce long-term potentiation in the hippocampus in vitro,10.1016/0304-3940(86)90466-0,
10.1016/0306-4522(88)90127-3,Electrophysiological analysis of the dorsal hippocampal commissure projections to the entorhinal are,Paper: Electrophysiological analysis of the dorsal hippocampal commissure projections to the entorhinal area,10.1016/0306-4522(88)90127-3,
10.1016/0006-8993(84)91356-8,Long-term changes of hippocampal sharp-waves following high frequency afferent activation,Paper: Long-term changes of hippocampal sharp-waves following high frequency afferent activation,10.1016/0006-8993(84)91356-8,
10.1038/330649a0,Long-term potentiation and NMDA receptors in rat visual cortex,Paper: Long-term potentiation and NMDA receptors in rat visual cortex,10.1038/330649a0,
10.1016/0304-3940(88)90477-6,Effects of the NMDA antagonist 2AP5 on complex spike discharge by hippocampal pyramidal cells,Paper: Effects of the NMDA antagonist 2AP5 on complex spike discharge by hippocampal pyramidal cells,10.1016/0304-3940(88)90477-6,
 10.1016/0006-8993(85)90257-4,On the number of neurons in the dentate gyrus of the rat,Paper: On the number of neurons in the dentate gyrus of the rat, 10.1016/0006-8993(85)90257-4,
 10.1016/0006-8993(88)90763-9,Evidence for a specific role for cortical NMDA receptors in slow-wave sleep,Paper: Evidence for a specific role for cortical NMDA receptors in slow-wave sleep, 10.1016/0006-8993(88)90763-9,
 10.1038/290413a0,Synaptic facilitation requires paired activation of convergent pathways in the neocortex,Paper: Synaptic facilitation requires paired activation of convergent pathways in the neocortex, 10.1038/290413a0,
 10.1016/0006-8993(87)90793-1,On the numbers of neurons on fields CA1 and CA3 of the hippocampus of Sprague-Dawley and Wistar rats,Paper: On the numbers of neurons on fields CA1 and CA3 of the hippocampus of Sprague-Dawley and Wistar rats, 10.1016/0006-8993(87)90793-1,
