Top_DOI,Path_to_Source
10.1016/0304-3940(86)90466-0,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0304-3940(86)90466-0']"
10.1016/0306-4522(88)90127-3,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0306-4522(88)90127-3']"
10.1016/0006-8993(84)91356-8,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0006-8993(84)91356-8']"
10.1038/330649a0,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1038/330649a0']"
10.1016/0304-3940(88)90477-6,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0304-3940(88)90477-6']"
10.1113/jphysiol.1983.sp014507,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1113/jphysiol.1983.sp014507']"
10.1016/0006-8993(85)90257-4,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0006-8993(85)90257-4']"
10.1016/0006-8993(88)90763-9,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0006-8993(88)90763-9']"
10.1038/290413a0,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1038/290413a0']"
10.1016/0006-8993(87)90793-1,"['10.1038/nature14236', '10.1016/j.tins.2010.01.006', '10.1016/0306-4522(89)90423-5', '10.1016/0006-8993(87)90793-1']"
