Citing_DOI,Cited_DOI,Citing_Layer,Cited_Layer,Citation_Type
10.1038/nature14236,10.5962/bhl.title.55072,0,1,Direct
10.1038/nature14236,10.1126/science.275.5306.1593,0,1,Direct
10.1038/nature14236,10.1007/bf00344251,0,1,Direct
10.1038/nature14236,10.1145/203330.203343,0,1,Direct
10.1038/nature14236,10.1007/s10514-009-9120-4,0,1,Direct
10.1038/nature14236,10.1561/2200000006,0,1,Direct
10.1038/nature14236,10.1126/science.1127647,0,1,Direct
10.1038/nature14236,10.1613/jair.3912,0,1,Direct
10.1038/nature14236,10.1007/s11023-007-9079-x,0,1,Direct
10.1038/nature14236,10.1109/5.726791,0,1,Direct
10.1038/nature14236,10.1113/jphysiol.1963.sp007079,0,1,Direct
10.1038/nature14236,10.1109/9.580874,0,1,Direct
10.1038/nature14236,10.1037/0033-295x.102.3.419,0,1,Direct
10.1038/nature14236,10.1016/j.tins.2010.01.006,0,1,Direct
10.1038/nature14236,10.1038/nn.2304,0,1,Direct
10.1038/nature14236,10.1038/415318a,0,1,Direct
10.1038/nature14236,10.1038/nn.3203,0,1,Direct
10.1038/nature14236,10.1016/s0004-3702(98)00023-x,0,1,Direct
10.1126/science.275.5306.1593,10.1037/h0076778,1,2,Indirect
10.1126/science.275.5306.1593,10.1037/0033-295x.88.2.135,1,2,Indirect
10.1126/science.275.5306.1593,10.1101/lm.1.1.1,1,2,Indirect
10.1126/science.275.5306.1593,10.1038/377725a0,1,2,Indirect
10.1126/science.275.5306.1593,10.1523/jneurosci.16-05-01936.1996,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/0306-4522(94)90592-4,1,2,Indirect
10.1126/science.275.5306.1593,10.7551/mitpress/4708.003.0020,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/1044-5765(92)90012-q,1,2,Indirect
10.1126/science.275.5306.1593,10.1002/syn.890100307,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/0376-8716(95)01118-i,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/0006-8993(75)90998-1,1,2,Indirect
10.1126/science.275.5306.1593,10.1126/science.897677,1,2,Indirect
10.1126/science.275.5306.1593,10.1007/bf00426039,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/0006-8993(80)90666-6,1,2,Indirect
10.1126/science.275.5306.1593,10.1146/annurev.ps.40.020189.001203,1,2,Indirect
10.1126/science.275.5306.1593,10.1017/s0140525x00010372,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/0165-0173(83)90038-3,1,2,Indirect
10.1126/science.275.5306.1593,10.1126/science.6857251,1,2,Indirect
10.1126/science.275.5306.1593,10.1016/0361-9230(89)90223-2,1,2,Indirect
10.1126/science.275.5306.1593,10.1152/physrev.1991.71.1.155,1,2,Indirect
10.1007/bf00344251,10.1007/bf00342633,1,2,Indirect
10.1007/bf00344251,10.1152/jn.1972.35.1.96,1,2,Indirect
10.1007/bf00344251,10.1113/jphysiol.1962.sp006837,1,2,Indirect
10.1007/bf00344251,10.1152/jn.1965.28.2.229,1,2,Indirect
10.1007/bf00344251,10.1098/rspb.1977.0085,1,2,Indirect
10.1145/203330.203343,10.1016/0893-6080(89)90020-8,1,2,Indirect
10.1145/203330.203343,10.7551/mitpress/5236.001.0001,1,2,Indirect
10.1145/203330.203343,10.1147/rd.33.0210,1,2,Indirect
10.1145/203330.203343,10.1023/a:1022633531479,1,2,Indirect
10.1145/203330.203343,10.1162/neco.1989.1.3.321,1,2,Indirect
10.1145/203330.203343,10.1007/bf00992697,1,2,Indirect
10.1007/s10514-009-9120-4,10.1016/s0004-3702(99)00026-0,1,2,Indirect
10.1007/s10514-009-9120-4,10.1109/iros.2008.4650953,1,2,Indirect
10.1007/s10514-009-9120-4,10.1080/088395198117848,1,2,Indirect
10.1007/s10514-009-9120-4,10.1163/1568553041719519,1,2,Indirect
10.1007/s10514-009-9120-4,10.1177/0278364907087548,1,2,Indirect
10.1007/s10514-009-9120-4,10.1016/j.neunet.2008.02.003,1,2,Indirect
10.1007/s10514-009-9120-4,10.1109/icnn.1993.298623,1,2,Indirect
10.1007/s10514-009-9120-4,10.1177/105971230501300301,1,2,Indirect
10.1007/s10514-009-9120-4,10.1016/0004-3702(89)90017-9,1,2,Indirect
10.1007/s10514-009-9120-4,10.1016/j.robot.2004.05.005,1,2,Indirect
10.1126/science.1127647,10.1016/0885-2308(87)90026-x,1,2,Indirect
10.1126/science.1127647,10.1126/science.269.5232.1860,1,2,Indirect
10.1126/science.1127647,10.1162/neco.1997.9.7.1493,1,2,Indirect
10.1126/science.1127647,10.1073/pnas.79.8.2554,1,2,Indirect
10.1126/science.1127647,10.1162/neco.2006.18.7.1527,1,2,Indirect
10.1126/science.1127647,10.1002/(sici)1097-4571(199009)41:6<391::aid-asi1>3.0.co;2-9,1,2,Indirect
10.1126/science.1127647,10.1126/science.290.5500.2323,1,2,Indirect
10.1126/science.1127647,10.1126/science.290.5500.2319,1,2,Indirect
10.1007/s11023-007-9079-x,10.1109/21.97471,1,2,Indirect
10.1007/s11023-007-9079-x,10.1002/j.1556-6676.1992.tb01670.x,1,2,Indirect
10.1007/s11023-007-9079-x,10.3406/psy.1904.3675,1,2,Indirect
10.1007/s11023-007-9079-x,10.2307/2184371,1,2,Indirect
10.1007/s11023-007-9079-x,10.1007/978-3-662-04978-5,1,2,Indirect
10.1007/s11023-007-9079-x,10.1017/cbo9780511571312,1,2,Indirect
10.1007/s11023-007-9079-x,10.1007/bf02084159,1,2,Indirect
10.1007/s11023-007-9079-x,10.1109/jproc.1995.481636,1,2,Indirect
10.1007/s11023-007-9079-x,10.1093/mind/xcix.393.53,1,2,Indirect
10.1007/s11023-007-9079-x,10.1016/s0160-2896(97)90011-8,1,2,Indirect
10.1007/s11023-007-9079-x,10.1016/s0160-2896(97)90014-3,1,2,Indirect
10.1007/s11023-007-9079-x,10.1080/09528138908953691,1,2,Indirect
10.1007/s11023-007-9079-x,10.1023/a:1008367325700,1,2,Indirect
10.1007/s11023-007-9079-x,10.1016/b978-0-12-293850-4.50022-4,1,2,Indirect
10.1007/s11023-007-9079-x,10.1145/224538.224567,1,2,Indirect
10.1007/s11023-007-9079-x,10.1007/3-540-44795-4_20,1,2,Indirect
10.1007/s11023-007-9079-x,10.1016/j.tcs.2007.05.016,1,2,Indirect
10.1109/5.726791,10.1109/72.554195,1,2,Indirect
10.1109/5.726791,10.1162/neco.1995.7.6.1289,1,2,Indirect
10.1109/5.726791,10.1016/0031-3203(82)90024-3,1,2,Indirect
10.1109/5.726791,10.1007/bf00342633,1,2,Indirect
10.1109/5.726791,10.1113/jphysiol.1962.sp006837,1,2,Indirect
10.1109/5.726791,10.1162/neco.1993.5.3.419,1,2,Indirect
10.1109/5.726791,10.1109/5.18626,1,2,Indirect
10.1109/5.726791,10.1007/978-1-4615-3210-1,1,2,Indirect
10.1109/5.726791,10.1109/5.156474,1,2,Indirect
10.1109/5.726791,10.1109/5.156477,1,2,Indirect
10.1109/5.726791,10.1109/78.175747,1,2,Indirect
10.1109/5.726791,10.1007/bf00116037,1,2,Indirect
10.1109/5.726791,10.1162/neco.1992.4.6.888,1,2,Indirect
10.1109/5.726791,10.1007/bf02551274,1,2,Indirect
10.1109/5.726791,10.1162/neco.1991.3.3.440,1,2,Indirect
10.1109/5.726791,10.1109/tc.1978.1675179,1,2,Indirect
10.1109/5.726791,10.1162/neco.1994.6.5.851,1,2,Indirect
10.1109/5.726791,10.1103/physreva.45.6056,1,2,Indirect
10.1109/5.726791,10.1007/978-1-4757-2440-0,1,2,Indirect
10.1109/9.580874,10.1007/bf00115009,1,2,Indirect
10.1109/9.580874,10.1007/bf00993306,1,2,Indirect
10.1109/9.580874,10.1007/bf00993978,1,2,Indirect
10.1109/9.580874,10.1016/b978-1-55860-377-6.50040-2,1,2,Indirect
10.1109/9.580874,10.1162/neco.1995.7.2.270,1,2,Indirect
10.1109/9.580874,10.1007/bf00114726,1,2,Indirect
10.1109/9.580874,10.1007/bf00992698,1,2,Indirect
10.1109/9.580874,10.1162/neco.1994.6.6.1185,1,2,Indirect
